"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ochoa, Edward Henry","ENVR 110   - Environmental Law              (A)","WI12","51","28","82.1%","85.7%","6.21","B (3.23)","B (3.25)"
"Hineline, Mark Lawrence","ENVR 140   - Wilderness and Human Values    (A)","WI12","79","43","95.3%","93.0%","4.31","A- (3.78)","B+ (3.50)"
"Dayton, Paul K.","ENVR 87   - Freshman Seminar               (A)","WI12","19","12","90.9%","100.0%","0.50","N/A","N/A"
"Talley, Theresa S.","ENVR 30   - Environmental Issues:Nat Sci   (A)","FA11","103","95","91.5%","94.7%","4.82","B+ (3.67)","B+ (3.65)"
"Dayton, Paul K.","ENVR 87   - Freshman Seminar               (A)","FA11","15","12","100.0%","100.0%","0.83","A (4.00)","N/A"
"Niles, John O.","ENVR 102   - Selected Topics/Environmntl St (A)","SP11","33","20","95.0%","95.0%","5.60","B (3.28)","B (3.21)"
"Talley, Theresa S.","ENVR 120   - Coastal Ecology                (A)","SP11","22","15","100.0%","100.0%","3.43","A- (3.85)","A- (3.88)"
"Hilger, James R.","ENVR 130   - Environmental Issues:Soc Sci   (A)","SP11","66","57","71.9%","48.2%","3.45","B+ (3.33)","B (3.23)"
"Ochoa, Edward Henry","ENVR 110   - Environmental Law              (A)","WI11","45","29","96.6%","89.7%","5.88","B+ (3.39)","A- (3.74)"
"Hineline, Mark Lawrence","ENVR 140   - Wilderness and Human Values    (A)","WI11","85","39","97.4%","97.4%","3.58","B+ (3.53)","B+ (3.38)"
"Dayton, Paul K.","ENVR 87   - Freshman Seminar               (A)","WI11","19","12","100.0%","100.0%","0.68","A (4.00)","N/A"
"Hineline, Mark Lawrence","ENVR 141 - Wilderness & HumanValue Worksh (A)","FA10","9","7","83.3%","100.0%","4.83","A (4.00)","N/A"
"Griest, Kim","ENVR 30 - Environmental Issues:Nat Sci   (A)","FA10","128","65","87.7%","87.5%","4.28","B+ (3.47)","B (3.03)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology                (A)","SP10","16","9","100.0%","100.0%","4.06","B+ (3.67)","N/A"
"Callender, Craig Adam","ENVR 130 - Environmental Issues:Soc Sci   (A)","SP10","101","55","85.5%","66.7%","4.09","B (3.29)","B (3.28)"
"Hineline, Mark Lawrence","ENVR 140 - Wilderness and Human Values    (A)","SP10","98","46","87.0%","76.1%","2.76","A- (3.83)","A- (3.72)"
"Niles, John O.","ENVR 102 - Selected Topics/Environmntl St (A)","WI10","39","17","94.1%","94.1%","4.97","B+ (3.67)","B+ (3.44)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law              (A)","WI10","47","21","95.2%","100.0%","5.64","B+ (3.69)","B+ (3.33)"
