"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Camargo, William","VIS 164 - Photographic Strategies (B)","WI22","22","6","100.0%","100.0%","5.83","B+ (3.33)","B+ (3.65)"
"Sepuya, Paul Mpagi","VIS 165 - Black and White Darkroom (A)","WI22","24","5","100.0%","100.0%","11.70","A (4.00)","A- (3.83)"
"Ortiz-Torres, Ruben","VIS 168 - Pictorialism&Construct.Reality (A)","WI22","16","4","100.0%","75.0%","7.50","B (3.25)","N/A"
"Mangolte, Babette","VIS 171 - Digital Cinema Theory/Practice (A)","WI22","18","6","33.3%","0.0%","5.83","B (3.00)","N/A"
"Gomez Mostajo, Maria Loren","VIS 174 - Media Sketchbook (A)","WI22","18","6","100.0%","100.0%","5.83","A- (3.83)","N/A"
"Stuker, Jeffrey Ryan","VIS 174 - Media Sketchbook (B)","WI22","18","4","100.0%","100.0%","9.50","A (4.00)","N/A"
"Kauffmann, Casey","VIS 174 - Media Sketchbook (C)","WI22","22","15","92.9%","92.9%","8.64","B+ (3.57)","B (3.16)"
"Dinco, Dino","VIS 177 - Scripting Strategies (A)","WI22","21","7","100.0%","100.0%","6.90","A- (3.75)","B+ (3.44)"
"Kauffmann, Casey","VIS 179 - Intermediate Projects in Media (A)","WI22","7","5","80.0%","80.0%","9.30","A- (3.75)","N/A"
"Nakayama, Yue","VIS 180A - Documentary Evidence/Media Pra (A)","WI22","19","16","100.0%","100.0%","8.63","A (4.00)","N/A"
"Miller, Nicole L","VIS 180B - Fic & Allegory/Curr Media Prac (A)","WI22","15","14","84.6%","76.9%","4.64","A- (3.93)","N/A"
"Mangolte, Babette","VIS 181 - Adv Sound And Lighting (A)","WI22","21","8","57.1%","28.6%","7.75","B (3.13)","B+ (3.59)"
"Trigilio, Michael","VIS 183B - Strategies of Alterity (A)","WI22","23","11","80.0%","90.0%","11.10","B+ (3.60)","A- (3.80)"
"Dinco, Dino","VIS 2 - Intr/Art-Making:Motn&Time Base (A)","WI22","85","36","96.8%","90.0%","3.21","A- (3.93)","A- (3.76)"
"Newsome, Elizabeth Ann","VIS 21A - Int/ArtAmericas/Africa/Oceania (A)","WI22","117","58","90.9%","72.2%","2.46","A- (3.82)","A- (3.76)"
"Klemm, Peri Marka","VIS 22 - Formations of Modern Art (A)","WI22","177","64","88.7%","93.4%","3.64","B+ (3.66)","B+ (3.53)"
"D'Elena-Tweed, Jessica Erin","VIS 41 - Design Communication (A)","WI22","142","52","92.2%","72.5%","5.25","A- (3.88)","A- (3.91)"
"Camargo, William","VIS 60 - Intro/Digital Photography (A)","WI22","132","39","89.5%","83.8%","4.34","A- (3.70)","A- (3.71)"
"Kester, Grant","VIS 83 - Photographic History (A)","WI22","135","52","98.0%","98.0%","4.18","B+ (3.69)","B+ (3.59)"
"Tonies, Joshua Vanjaymes","VIS 1 - Intr/Art-Making:2-D Practices (A)","FA21","391","237","92.2%","98.3%","4.28","A- (3.95)","A- (3.94)"
"Park, Kyong Dong","VIS 100 - Introduction to Public Culture (A)","FA21","71","23","71.4%","66.7%","7.41","B+ (3.30)","B+ (3.61)"
"Cruz, Edwin Teddy","VIS 101 - Intro. to Urban Ecologies (A)","FA21","63","24","95.5%","95.5%","5.59","A- (3.71)","B+ (3.57)"
"Park, Kyong Dong","VIS 103A - Contemporary Arts in S. Korea (A)","FA21","75","27","84.6%","84.6%","5.35","B+ (3.62)","B+ (3.43)"
"De Luca, Mara Julia","VIS 105A - Drawing: Representing/Subject (A)","FA21","30","27","100.0%","100.0%","7.17","A- (3.81)","A- (3.99)"
"Nichols, Maia Isabelle","VIS 105B - Drawing: Practices and Genre (A)","FA21","19","7","100.0%","83.3%","5.36","A- (3.86)","N/A"
"Chew Ii, Troy Lamarr","VIS 106A - Painting:  Image Making (A)","FA21","25","14","100.0%","92.9%","6.93","A- (3.86)","A (4.00)"
"De Luca, Mara Julia","VIS 106B - Painting: Practices and Genre (A)","FA21","24","20","100.0%","100.0%","8.70","A- (3.90)","A- (3.95)"
"Vangenderen, Monique Luise","VIS 106C - Painting: Portfolio Projects (A)","FA21","13","4","100.0%","100.0%","13.00","A- (3.75)","N/A"
"Gallaccio, Anya","VIS 107C - Sculpture: Portfolio Projects (A)","FA21","15","6","100.0%","100.0%","10.17","A (4.00)","N/A"
"Iglesias, Janelle Ann","VIS 110B - Prof Practice in Visual Arts (A)","FA21","15","7","100.0%","100.0%","4.83","A- (3.83)","N/A"
"Vangenderen, Monique Luise","VIS 110C - Proposals, Plans, Presentation (A)","FA21","16","4","100.0%","100.0%","6.00","A- (3.75)","N/A"
"Tronzo, William","VIS 121B - ChurchMosque:Med. Art and Arch (A)","FA21","79","25","100.0%","96.0%","3.62","A- (3.78)","A- (3.81)"
"Evans, Allison Olivia","VIS 125BN - Contemporary Art (A)","FA21","74","28","96.2%","96.3%","5.31","A- (3.76)","B+ (3.40)"
"Gray, Jonah Peter","VIS 126HN - Pac Coast American Indian Art (A)","FA21","33","17","100.0%","92.9%","3.09","A- (3.82)","B+ (3.31)"
"Chen, Ifan","VIS 127N - 20th Century Art/China & Japan (A)","FA21","126","47","62.2%","51.2%","6.54","B+ (3.68)","B+ (3.60)"
"Miller, Nicole L","VIS 132 - Installation Production&Studio (A)","FA21","15","9","71.4%","71.4%","7.83","B+ (3.57)","N/A"
"Kiratli, Solen","VIS 142 - Practices in Computing Arts (A)","FA21","115","54","90.4%","92.3%","6.26","B+ (3.68)","B+ (3.66)"
"Akten, Mehmet","VIS 143 - Virtual Environments (A)","FA21","21","9","100.0%","88.9%","6.72","A- (3.89)","B+ (3.69)"
"Navab-Gojrati, Nassem","VIS 147A - Electronic Technologies/Art I (A)","FA21","42","15","100.0%","100.0%","5.83","A- (3.92)","B+ (3.31)"
"Crandall, Jordan","VIS 149 - Contemporary Computer Topics (B)","FA21","11","5","75.0%","75.0%","5.50","B (3.00)","N/A"
"Gomez Mostajo, Maria Loren","VIS 156 - Latino American Cinema (A)","FA21","69","22","54.5%","42.9%","6.95","B+ (3.50)","B+ (3.56)"
"Bratton, Benjamin H.","VIS 163 - Design Research & Criticism (A)","FA21","18","4","100.0%","100.0%","6.00","A (4.00)","N/A"
"Camargo, William","VIS 164 - Photographic Strategies (A)","FA21","22","12","100.0%","100.0%","4.83","A- (3.91)","A- (3.92)"
"Sprague, Sean Jeffrey","VIS 165 - Black and White Darkroom (A)","FA21","22","13","100.0%","100.0%","9.58","A- (3.92)","B+ (3.57)"
"Sepuya, Paul Mpagi","VIS 167 - Social Engagement&Photography (A)","FA21","22","12","100.0%","100.0%","8.33","A- (3.83)","A- (3.95)"
"Nakayama, Yue","VIS 171 - Digital Cinema Theory/Practice (A)","FA21","21","16","93.8%","93.8%","6.88","A (4.00)","A- (3.90)"
"Trigilio, Michael","VIS 172 - Motion Design/Visual Effects (A)","FA21","13","7","100.0%","100.0%","7.07","A (4.00)","N/A"
"Mangolte, Babette","VIS 174 - Media Sketchbook (A)","FA21","20","10","20.0%","20.0%","5.90","B (3.10)","B+ (3.44)"
"Zurita, Dmitri","VIS 174 - Media Sketchbook (B)","FA21","22","15","93.3%","93.3%","7.57","B+ (3.67)","A- (3.95)"
"Nakayama, Yue","VIS 175 - Editing - Theory & Practice (A)","FA21","21","15","100.0%","100.0%","6.37","A (4.00)","A- (3.95)"
"Cho, Erica","VIS 177 - Scripting Strategies (A)","FA21","23","14","100.0%","100.0%","5.12","B+ (3.69)","B (3.27)"
"Zurita, Dmitri","VIS 183A - Strategies of Self (A)","FA21","19","13","91.7%","91.7%","6.17","A- (3.83)","N/A"
"Woods, Ann","VIS 20 - Intro to Art in Europe/America (A)","FA21","362","191","96.2%","97.8%","3.41","B+ (3.68)","B+ (3.51)"
"Newsome, Elizabeth Ann","VIS 23 - Art History Methods (A)","FA21","14","3","66.7%","66.7%","9.17","B+ (3.67)","N/A"
"Yoldas, Pinar","VIS 30 - Intro to Speculative Design (A)","FA21","87","63","96.8%","100.0%","5.02","A- (3.77)","B+ (3.54)"
"D'Elena-Tweed, Jessica Erin","VIS 41 - Design Communication (A)","FA21","145","78","87.8%","82.9%","5.33","A- (3.79)","B+ (3.64)"
"Sepuya, Paul Mpagi","VIS 60 - Intro/Digital Photography (A)","FA21","159","64","81.7%","89.7%","6.03","B+ (3.40)","B+ (3.30)"
"Miller, Nicole L","VIS 70N - Introduction to Media (A)","FA21","129","69","85.7%","79.7%","4.56","A- (3.79)","B+ (3.53)"
"Tonies, Joshua Vanjaymes","VIS 80 - Introduction to Studio Major (A)","FA21","148","85","100.0%","100.0%","6.52","A- (3.90)","A- (3.77)"
"Shen, Kuiyi","VIS 127C - Arts of Modern China (A)","S221","72","9","66.7%","55.6%","6.94","A- (3.88)","B+ (3.63)"
"Hom, Kirstyn Courtney","VIS 130 - Spec Projects in Visual Arts (A)","S221","16","9","100.0%","100.0%","5.39","B+ (3.67)","N/A"
"Hovhannisyan, Marianna","VIS 20 - Introduction to Art History (A)","S221","43","26","88.5%","88.5%","5.73","A- (3.80)","B+ (3.44)"
"Cruz, Edwin Teddy","VIS 103 - Architectural Practices (A)","S121","41","8","100.0%","100.0%","4.75","B+ (3.60)","B (3.12)"
