"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Munoz Sanchez, Alicia","LIGN 178 - Spanish Sociolinguistics (A)","WI21","23","10","100.0%","100.0%","3.50","B+ (3.60)","B (3.29)"
"Kluender, Robert","LIGN 179 - Second Lang Acquisition Resrc (A)","WI21","35","25","87.5%","95.8%","7.46","B (3.22)","B+ (3.55)"
"Styler, William Francis","LIGN 6 - Computers and Language (A)","WI21","39","21","100.0%","100.0%","3.45","B+ (3.63)","B+ (3.54)"
"Chai, Yuan","LIGN 8 - Languages & Cultures/America (A)","WI21","178","66","93.9%","93.9%","3.20","A- (3.89)","B+ (3.59)"
"Styler, William Francis","LIGN 87 - Freshman Seminar (A)","WI21","18","16","100.0%","100.0%","1.13","N/A","N/A"
"Alicio, Atilio","LIHL 112W - Filipino for Filipino Speakers (A)","WI21","15","5","100.0%","100.0%","3.70","B+ (3.50)","N/A"
"Hill, Kimloan T.V.","LIHL 114W - Beginning Vietnamese for Vietn (A)","WI21","10","6","83.3%","83.3%","2.83","B (3.00)","N/A"
"Sadegholvad, Elham","LIHL 115W - Korean for Korean Speakers (A)","WI21","11","7","100.0%","100.0%","3.07","A- (3.83)","N/A"
"Sadegholvad, Elham","LIHL 117W - Persian for Persian Speakers (A)","WI21","12","6","100.0%","100.0%","5.50","B+ (3.67)","N/A"
"Sadegholvad, Elham","LIHL 119W - Hindi for Hindi Speakers (A)","WI21","11","4","100.0%","100.0%","3.83","B+ (3.67)","N/A"
"Hill, Kimloan T.V.","LIHL 124W - Int Vietnamese/Vietnamese Spkr (A)","WI21","15","7","100.0%","100.0%","3.93","A- (3.80)","N/A"
"Alicio, Atilio","LIHL 132W - Adv Filipino/Filipino Spkrs (A)","WI21","12","6","100.0%","100.0%","2.50","C+ (2.50)","N/A"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (A)","WI21","11","4","100.0%","100.0%","3.50","A- (3.75)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","FA20","67","45","97.7%","100.0%","5.09","B+ (3.69)","B+ (3.61)"
"Garellek, Marc","LIGN 110 - Phonetics (B)","FA20","96","47","97.8%","100.0%","5.67","B (3.15)","B (3.12)"
"Bakovic, Eric John","LIGN 115 - Phonology II (A)","FA20","11","9","100.0%","100.0%","4.94","A- (3.78)","N/A"
"Drake, Emily C","LIGN 139 - Field Methods (A)","FA20","16","9","100.0%","100.0%","6.50","B (3.22)","N/A"
"McClain, Shane Boyd","LIGN 143 - The Structure of Spanish (A)","FA20","64","25","83.3%","83.3%","3.67","B+ (3.50)","A- (3.75)"
"Lott, Margaret S.","LIGN 146 - Sociolinguistics/Deaf Communit (A)","FA20","22","9","100.0%","100.0%","2.28","A- (3.89)","A- (3.76)"
"McIntosh, Justin Daniel","LIGN 152 - Indigenous Languages/Americas (A)","FA20","28","12","91.7%","100.0%","4.50","B+ (3.45)","B+ (3.39)"
"Goodall, Grant Todd","LIGN 5 - Linguistics of Invented Lang (A)","FA20","62","38","94.4%","97.2%","2.28","A- (3.84)","B+ (3.34)"
"Ilkbasaran, Deniz","LIGN 7 - Sign Languages&Their Cultures (A)","FA20","167","99","94.9%","97.9%","4.07","A- (3.76)","A- (3.71)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","FA20","252","108","100.0%","100.0%","3.73","A- (3.87)","A- (3.79)"
"Alicio, Atilio","LIHL 112F - Filipino for Filipino Speakers (A)","FA20","16","6","100.0%","100.0%","3.83","B (3.25)","N/A"
"Hill, Kimloan T.V.","LIHL 114F - Beginning Vietnamese for Vietn (A)","FA20","14","9","100.0%","75.0%","2.50","A (4.00)","N/A"
