"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Hwang, Tae Ok","CAT 124 - Sixth College Practicum (A)","S216","6","3","100.0%","100.0%","8.50","B (3.00)","N/A"
"Araki-Kawaguchi, Hiroki Michael","CAT 124 - Sixth College Practicum (A)","S116","5","3","100.0%","100.0%","2.50","A (4.00)","N/A"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S116","176","72","97.1%","97.1%","6.07","A- (3.70)","B+ (3.68)"
"Hill, Linda L.","CAT 124 - Sixth College Practicum (B)","SP16","4","3","50.0%","50.0%","7.50","B (3.00)","N/A"
"Stalbaum, Brett","CAT 124 - Sixth College Practicum (C)","SP16","16","5","100.0%","100.0%","5.70","A (4.00)","N/A"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (A)","SP16","165","74","77.1%","92.9%","4.50","B+ (3.41)","B+ (3.34)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","SP16","168","108","85.7%","94.3%","3.71","A- (3.80)","B+ (3.69)"
"Dominguez, Ricardo","CAT 3 - Culture, Art & Technology III (A)","SP16","324","150","57.7%","48.2%","3.37","B+ (3.67)","B+ (3.56)"
"Smith, Ashley Elizabeth","CAT 3 - Culture, Art & Technology III (B)","SP16","186","166","80.0%","84.8%","5.59","B+ (3.54)","B+ (3.62)"
"McCallum, Clinton H","CAT 3 - Culture, Art & Technology III (C)","SP16","183","70","34.3%","55.2%","3.67","B (3.25)","B+ (3.30)"
"Streeby, Shelley","CAT 3 - Culture, Art & Technology III (D)","SP16","269","145","57.6%","65.9%","4.78","B+ (3.53)","B+ (3.57)"
"Kester, Grant","CAT 124 - Sixth College Practicum (C)","WI16","6","5","100.0%","100.0%","8.50","A (4.00)","N/A"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (A)","WI16","182","93","78.9%","91.1%","4.27","B+ (3.51)","B+ (3.42)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","WI16","178","118","94.0%","99.1%","4.07","A- (3.74)","B+ (3.64)"
