"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Larson, David Philip","ENG 10 - Fundamentals/Engineering Appln (A)","WI18","24","18","94.4%","100.0%","2.17","A- (3.88)","A- (3.97)"
"Choi, Seongcheol","ENG 10 - Fundamentals/Engineering Appln (B)","WI18","24","19","83.3%","83.3%","2.72","A (4.00)","A (4.00)"
"Williams, Ebonee P.","ENG 100B - Engineering Leadership (A)","WI18","15","6","100.0%","100.0%","2.50","A (4.00)","N/A"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","WI18","46","45","82.2%","97.8%","7.12","B+ (3.61)","B+ (3.61)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","WI18","46","44","97.7%","100.0%","6.83","B+ (3.60)","B+ (3.61)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","WI18","44","43","93.0%","100.0%","7.66","B+ (3.66)","B+ (3.61)"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (F)","WI18","16","6","100.0%","100.0%","5.50","A (4.00)","N/A"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (G)","WI18","8","4","100.0%","100.0%","5.00","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (I)","WI18","12","3","100.0%","100.0%","5.17","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (J)","WI18","8","3","100.0%","100.0%","4.50","B+ (3.67)","N/A"
"Hayden, Marina Calvet","ENG 1 - Orientation to Engineering I (A)","FA17","18","12","83.3%","91.7%","0.50","A (4.00)","N/A"
"Larson, David Philip","ENG 10 - Fundamentals/Engineering Appln (A)","FA17","33","19","88.9%","100.0%","1.50","A- (3.89)","A- (3.89)"
"Choi, Seongcheol","ENG 10 - Fundamentals/Engineering Appln (B)","FA17","26","15","53.3%","60.0%","1.70","A- (3.86)","A- (3.85)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","FA17","51","37","91.9%","91.9%","6.01","A- (3.83)","B+ (3.62)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","FA17","48","46","93.5%","97.8%","6.11","A- (3.82)","B+ (3.62)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","FA17","45","43","97.6%","100.0%","6.17","A- (3.71)","B+ (3.62)"
"Bratton, Maryann","ENG 100L - Design for Development Lab (0)","FA17","17","3","100.0%","100.0%","5.50","A (4.00)","N/A"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (0)","FA17","7","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (0)","FA17","11","6","100.0%","100.0%","3.83","A (4.00)","N/A"
"Smith, David M.","ENG 100L - Design for Development Lab (0)","FA17","10","3","100.0%","66.7%","1.83","A (4.00)","N/A"
"Hajjar, Rima Joseph","ENG 10 - Fundamentals/Engineering Appln (A)","S217","22","7","0.0%","33.3%","1.83","A (4.00)","N/A"
"Hajjar, Rima Joseph","ENG 10 - Fundamentals/Engineering Appln (B)","S217","27","9","33.3%","55.6%","3.39","A (4.00)","N/A"
"Xu, Zihan","ENG 10 - Fundamentals/Engineering Appln (C)","S217","28","10","77.8%","11.1%","3.83","A- (3.78)","N/A"
"Choi, Seongcheol","ENG 10 - Fundamentals/Engineering Appln (D)","S217","17","5","100.0%","100.0%","2.50","A (4.00)","N/A"
"Larson, David Philip","ENG 10 - Fundamentals/Engineering Appln (A)","SP17","15","4","100.0%","100.0%","1.83","A (4.00)","N/A"
"Karandikar, Keyur","ENG 10 - Fundamentals/Engineering Appln (B)","SP17","20","8","87.5%","75.0%","4.00","A (4.00)","A- (3.71)"
"Steck, Jamie Bradley","ENG 100D - Design for Development (A)","SP17","50","46","97.8%","95.7%","4.72","A- (3.71)","A- (3.74)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","SP17","51","48","91.7%","91.7%","4.94","A- (3.74)","A- (3.82)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","SP17","54","49","98.0%","95.9%","5.10","B+ (3.69)","A- (3.82)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","SP17","53","48","95.8%","95.8%","5.98","A- (3.83)","A- (3.82)"
"Cosman, Pamela C.","ENG 100E - Technical Public Speaking (A)","SP17","18","9","100.0%","100.0%","2.06","A- (3.86)","N/A"
"Griswold, William G.","ENG 100L - Design for Development Lab (A)","SP17","12","5","100.0%","100.0%","3.00","A (4.00)","N/A"
"Smith, David M.","ENG 100L - Design for Development Lab (B)","SP17","18","8","100.0%","100.0%","4.50","A- (3.86)","N/A"
"Goldberg, Charles G.","ENG 100L - Design for Development Lab (D)","SP17","10","5","80.0%","100.0%","4.50","B+ (3.50)","N/A"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (F)","SP17","15","6","100.0%","100.0%","10.00","A (4.00)","N/A"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (G)","SP17","17","6","100.0%","66.7%","4.50","A (4.00)","N/A"
"Stokes, Malcolm Dale","ENG 100L - Design for Development Lab (H)","SP17","11","3","100.0%","100.0%","6.50","B+ (3.67)","N/A"
